

Curve Name:
  !PHBH_10 layer
Curve Values:
       Index           t          Ts          Tr       Value
                     [s]        [�C]        [�C]         [%]
        4386        4386     743.912         756     4.54127
        4392        4392     744.864         757     4.53999
        4398        4398     745.832         758     4.53824
        4404        4404     746.782         759     4.54033
        4410        4410     747.738         760     4.53879
        4416        4416     748.703         761     4.53815
        4422        4422     749.649         762     4.53811
        4428        4428     750.596         763     4.53811
        4434        4434     751.559         764      4.5422
        4440        4440     752.508         765     4.54068
        4446        4446     753.461         766     4.53904
        4452        4452     754.427         767     4.53939
        4458        4458     755.375         768     4.53822
        4464        4464     756.331         769     4.54067
        4470        4470     757.282         770     4.53866
        4476        4476     758.237         771     4.54127
        4482        4482     759.193         772     4.53628
        4488        4488     760.143         773     4.53742
        4494        4494     761.095         774     4.53916
        4500        4500     762.045         775       4.539
        4506        4506         763         776     4.54502
        4512        4512     763.955         777     4.54748
        4518        4518     764.897         778     4.54537
        4524        4524     765.855         779     4.54141
        4530        4530     766.807         780     4.53834
        4536        4536     767.762         781     4.53944
        4542        4542     768.707         782     4.53951
        4548        4548     769.662         783     4.54584
        4554        4554     770.617         784     4.54397
        4560        4560     771.568         785     4.54012
        4566        4566     772.513         786     4.53822
        4572        4572     773.465         787     4.54243
        4578        4578     774.415         788      4.5437
        4584        4584     775.372         789     4.54279
        4590        4590      776.32         790     4.54513
        4596        4596     777.274         791     4.54103
        4602        4602      778.22         792     4.54045
        4608        4608     779.168         793     4.53823
        4614        4614     780.122         794     4.54259
        4620        4620     781.072         795     4.54279
        4626        4626     782.017         796       4.542
        4632        4632     782.974         797      4.5407
        4638        4638     783.918         798     4.54279
        4644        4644     784.869         799     4.54342
        4650        4650     785.819         800     4.54166
        4656        4656     786.771         801     4.53834
        4662        4662     787.716         802     4.54426
        4668        4668     788.665         803     4.54736
        4674        4674      789.61         804      4.5476
        4680        4680     790.564         805     4.54655
        4686        4686     791.515         806     4.53945
